	2017	2018	diff	sum	2017_norm	2018_norm	norm_diff
sound	0.000	3.000	3.000	3.000	0.000	0.000	0.000
blind	2.000	5.000	3.000	7.000	0.000	0.001	0.000
fewshot	1.000	4.000	3.000	5.000	0.000	0.001	0.000
manipulation	2.000	5.000	3.000	7.000	0.000	0.001	0.000
averaging	0.000	3.000	3.000	3.000	0.000	0.000	0.000
semantics	0.000	3.000	3.000	3.000	0.000	0.000	0.000
automatic	5.000	8.000	3.000	13.000	0.001	0.001	0.000
memory	4.000	7.000	3.000	11.000	0.001	0.001	0.000
rotation	1.000	4.000	3.000	5.000	0.000	0.001	0.000
efficient	17.000	20.000	3.000	37.000	0.003	0.003	-0.000
stochastic	1.000	4.000	3.000	5.000	0.000	0.001	0.000
compressive	0.000	3.000	3.000	3.000	0.000	0.000	0.000
separation	0.000	3.000	3.000	3.000	0.000	0.000	0.000
inferring	1.000	4.000	3.000	5.000	0.000	0.001	0.000
shift	0.000	3.000	3.000	3.000	0.000	0.000	0.000
symmetric	0.000	3.000	3.000	3.000	0.000	0.000	0.000
fashion	1.000	4.000	3.000	5.000	0.000	0.001	0.000
forgetting	0.000	3.000	3.000	3.000	0.000	0.000	0.000
mapping	2.000	5.000	3.000	7.000	0.000	0.001	0.000
source	0.000	3.000	3.000	3.000	0.000	0.000	0.000
through	8.000	11.000	3.000	19.000	0.001	0.001	0.000
techniques	0.000	3.000	3.000	3.000	0.000	0.000	0.000
jointly	2.000	5.000	3.000	7.000	0.000	0.001	0.000
singleshot	0.000	3.000	3.000	3.000	0.000	0.000	0.000
eye	0.000	3.000	3.000	3.000	0.000	0.000	0.000
as	4.000	7.000	3.000	11.000	0.001	0.001	0.000
unit	2.000	5.000	3.000	7.000	0.000	0.001	0.000
quality	4.000	7.000	3.000	11.000	0.001	0.001	0.000
weakly	16.000	19.000	3.000	35.000	0.002	0.002	-0.000
occlusion	2.000	5.000	3.000	7.000	0.000	0.001	0.000
pruning	1.000	4.000	3.000	5.000	0.000	0.001	0.000
multilevel	2.000	5.000	3.000	7.000	0.000	0.001	0.000
counting	2.000	5.000	3.000	7.000	0.000	0.001	0.000
progressive	1.000	4.000	3.000	5.000	0.000	0.001	0.000
deformable	1.000	4.000	3.000	5.000	0.000	0.001	0.000
activities	1.000	4.000	3.000	5.000	0.000	0.001	0.000
unknown	0.000	3.000	3.000	3.000	0.000	0.000	0.000
hands	0.000	3.000	3.000	3.000	0.000	0.000	0.000
adapt	0.000	3.000	3.000	3.000	0.000	0.000	0.000
normalization	0.000	3.000	3.000	3.000	0.000	0.000	0.000
predicting	3.000	6.000	3.000	9.000	0.000	0.001	0.000
negative	0.000	3.000	3.000	3.000	0.000	0.000	0.000
views	1.000	4.000	3.000	5.000	0.000	0.001	0.000
geometric	5.000	8.000	3.000	13.000	0.001	0.001	0.000
poses	1.000	4.000	3.000	5.000	0.000	0.001	0.000
disentangled	1.000	4.000	3.000	5.000	0.000	0.001	0.000
points	0.000	3.000	3.000	3.000	0.000	0.000	0.000
quantization	4.000	7.000	3.000	11.000	0.001	0.001	0.000
